,Dataset,Column,Algorithm,Comparisons,deletions_val_distStatic,runs_val_distStatic,deletions_comp_distStatic,runs_comp_distStatic,arr_len,introsort,insertion_sort,merge_sort,timsort,quick_sort,selection_sort
34,player_dataset,P,merge_sort,5224,28,18,120,39,568,1000000000,82594,5224,5690,1000000000,1000000000
35,player_dataset,P/GP,merge_sort,5224,30,18,121,39,568,1000000000,82722,5224,5708,1000000000,1000000000
36,player_dataset,+/-,merge_sort,5224,31,20,131,39,568,1000000000,77450,5224,5690,1000000000,1000000000
37,player_dataset,Sh,merge_sort,5224,30,18,125,39,568,1000000000,81882,5224,5721,1000000000,1000000000
38,player_dataset,Sh_perc,merge_sort,5224,33,20,116,39,568,1000000000,77974,5224,5550,1000000000,1000000000
39,player_dataset,TOI_dec,merge_sort,5224,29,19,118,39,568,1000000000,79437,5224,5650,1000000000,1000000000
40,player_dataset,cap_hit_perc,merge_sort,5224,30,18,118,39,568,1000000000,79430,5224,5638,1000000000,1000000000
41,player_dataset,CF_perc,merge_sort,5224,31,19,127,39,568,1000000000,82646,5224,5741,1000000000,1000000000
42,player_dataset,FF_perc,merge_sort,5224,31,20,128,39,568,1000000000,82773,5224,5745,1000000000,1000000000
43,player_dataset,xGF_perc,merge_sort,5224,31,19,127,39,568,1000000000,83504,5224,5786,1000000000,1000000000
44,player_dataset,PIM,merge_sort,5224,32,20,131,39,568,1000000000,78817,5224,5654,1000000000,1000000000
45,player_dataset,Giveaways,merge_sort,5224,29,18,119,39,568,1000000000,78819,5224,5643,1000000000,1000000000
46,player_dataset,Takeaways,merge_sort,5224,31,17,137,39,568,1000000000,81981,5224,5682,1000000000,1000000000
47,player_dataset,Hits,merge_sort,5224,32,24,122,39,568,1000000000,80221,5224,5828,1000000000,1000000000
48,player_dataset,Hits Taken,merge_sort,5224,30,20,124,39,568,1000000000,81082,5224,5729,1000000000,1000000000
49,player_dataset,blocked_shots,merge_sort,5224,31,21,125,39,568,1000000000,79024,5224,5713,1000000000,1000000000
50,Healthcare_Investments_and_Hospital_Stay (1),Time,timsort,4333,29,20,124,39,518,1000000000,54034,4674,4333,1000000000,1000000000
51,Healthcare_Investments_and_Hospital_Stay (1),Hospital_Stay,merge_sort,4674,31,24,130,39,518,1000000000,69709,4674,5464,1000000000,1000000000
52,Healthcare_Investments_and_Hospital_Stay (1),MRI_Units,timsort,4291,31,17,136,39,518,1000000000,70503,4674,4291,1000000000,1000000000
53,Healthcare_Investments_and_Hospital_Stay (1),CT_Scanners,timsort,4442,32,16,124,39,518,1000000000,73229,4674,4442,1000000000,1000000000
54,Healthcare_Investments_and_Hospital_Stay (1),Hospital_Beds,timsort,4291,31,17,136,39,518,1000000000,70503,4674,4291,1000000000,1000000000
55,market_data,Sale,merge_sort,9888,30,22,121,39,992,1000000000,246350,9888,13543,1000000000,1000000000
56,market_data,InStrSpending,merge_sort,9888,29,18,128,39,992,1000000000,245592,9888,13462,1000000000,1000000000
57,market_data,Discount,merge_sort,9888,30,20,121,39,992,1000000000,240546,9888,13421,1000000000,1000000000
58,market_data,TVSpending,merge_sort,9888,30,18,129,39,992,1000000000,246965,9888,13447,1000000000,1000000000
59,market_data,StockRate,merge_sort,9888,32,18,125,39,992,1000000000,238846,9888,13186,1000000000,1000000000
60,market_data,Price,merge_sort,9888,30,19,134,39,992,1000000000,246864,9888,13356,1000000000,1000000000
61,market_data,Radio,merge_sort,9888,30,17,128,39,992,1000000000,245899,9888,13178,1000000000,1000000000
62,market_data,OnlineAdsSpending,merge_sort,9888,27,17,123,39,992,1000000000,246450,9888,13303,1000000000,1000000000
63,gym_clean,Unnamed: 0,insertion_sort,840,0,0,39,39,841,1000000000,840,8227,5014,1000000000,1000000000
64,gym_clean,rating,merge_sort,8227,29,19,121,39,841,1000000000,149628,8227,10173,1000000000,1000000000
65,gym_clean,user_ratings_total,merge_sort,8227,30,20,124,39,841,1000000000,179667,8227,10428,1000000000,1000000000
66,gym_clean,permanently_closed,timsort,6261,26,5,117,39,841,1000000000,43005,8227,6261,1000000000,1000000000
67,gym_clean,latitude,insertion_sort,6459,7,7,65,39,841,1000000000,6459,8227,8177,1000000000,1000000000
68,gym_clean,longitude,merge_sort,8227,28,17,113,39,841,1000000000,161548,8227,8885,1000000000,1000000000
69,katunayake_rh_2017-2018,station_id,insertion_sort,1064,0,0,39,39,1065,1000000000,1064,10732,7392,1000000000,1000000000
70,katunayake_rh_2017-2018,year,insertion_sort,1064,0,0,39,39,1065,1000000000,1064,10732,7392,1000000000,1000000000
71,katunayake_rh_2017-2018,month,timsort,7506,1,1,44,39,1065,1000000000,174185,10732,7506,1000000000,1000000000
72,katunayake_rh_2017-2018,day,timsort,9028,33,12,130,39,1065,1000000000,266838,10732,9028,1000000000,1000000000
73,katunayake_rh_2017-2018,obs_val,merge_sort,10732,30,15,123,39,1065,1000000000,240412,10732,11443,1000000000,1000000000
74,cities,id,timsort,109089,14,11,81,39,10000,1000000000,18371763,133616,109089,1000000000,1000000000
75,cities,state_id,timsort,105486,23,11,109,39,10000,1000000000,31894835,133616,105486,1000000000,1000000000
76,cities,country_id,insertion_sort,10655,1,1,45,39,10000,1000000000,10655,133616,99516,1000000000,1000000000
77,cities,latitude,merge_sort,133616,28,20,118,39,10000,1000000000,16397963,133616,146541,1000000000,1000000000
78,cities,longitude,merge_sort,133616,32,24,117,39,10000,1000000000,31063226,133616,147455,1000000000,1000000000
79,Hypertension_data,education,merge_sort,10053,28,15,111,39,1007,1000000000,180858,10053,11429,1000000000,1000000000
80,Hypertension_data,age,insertion_sort,1006,0,0,39,39,1007,1000000000,1006,10053,6010,1000000000,1000000000
81,Hypertension_data,BMI,merge_sort,10053,29,19,127,39,1007,1000000000,226924,10053,13865,1000000000,1000000000
82,Hypertension_data,currentSmoker,timsort,9841,18,9,86,39,1007,1000000000,95197,10053,9841,1000000000,1000000000
83,Hypertension_data,prevalentHyp,timsort,8944,25,6,95,39,1007,1000000000,65646,10053,8944,1000000000,1000000000
84,Hypertension_data,heartRate,merge_sort,10053,31,19,121,39,1007,1000000000,241470,10053,13144,1000000000,1000000000
85,UserFollowers,Id,merge_sort,133616,30,22,129,39,10000,1000000000,23460727,133616,166168,1000000000,1000000000
86,UserFollowers,UserId,timsort,99500,10,1,89,39,10000,1000000000,1434800,133616,99500,1000000000,1000000000
87,UserFollowers,FollowingUserId,merge_sort,133616,30,19,118,39,10000,1000000000,22898169,133616,146697,1000000000,1000000000
88,cvc_malposition_categories,index,insertion_sort,1210,0,0,39,39,1211,1000000000,1210,12484,8413,1000000000,1000000000
89,smoking,age,merge_sort,3698,31,20,122,39,421,1000000000,42536,3698,4847,1000000000,1000000000
90,smoking,amt_weekends,merge_sort,3698,32,17,130,39,421,1000000000,37027,3698,4379,1000000000,1000000000
91,smoking,amt_weekdays,merge_sort,3698,32,16,128,39,421,1000000000,37945,3698,4557,1000000000,1000000000
92,TDO SHEET BY DPS - Sheet1,dex,merge_sort,29041,31,18,124,39,2549,1000000000,1603711,29041,31368,1000000000,1000000000
93,TDO SHEET BY DPS - Sheet1,WeaveDPS,merge_sort,29041,39,39,78,39,2549,1000000000,3246826,29041,41552,1000000000,1000000000
94,TDO SHEET BY DPS - Sheet1,WeaveDPS Percentile,merge_sort,29041,39,39,78,39,2549,1000000000,3246826,29041,41552,1000000000,1000000000
95,TDO SHEET BY DPS - Sheet1,TDO,merge_sort,29041,35,23,122,39,2549,1000000000,2753081,29041,32108,1000000000,1000000000
96,TDO SHEET BY DPS - Sheet1,TDO Percentile,merge_sort,29041,35,23,122,39,2549,1000000000,2753081,29041,32108,1000000000,1000000000
97,TDO SHEET BY DPS - Sheet1,~TDO per CP,timsort,28806,31,17,127,39,2549,1000000000,2269907,29041,28806,1000000000,1000000000
98,TDO SHEET BY DPS - Sheet1,~SurvivalTime,merge_sort,29041,33,21,129,39,2549,1000000000,2411280,29041,31889,1000000000,1000000000
99,FEDFUNDS,Fed_rate,timsort,16443,17,6,102,39,1865,1000000000,576949,20332,16443,1000000000,1000000000
100,icc_fb_page,comments,merge_sort,21952,29,17,119,39,2000,1000000000,1159486,21952,29585,1000000000,1000000000
101,icc_fb_page,likes,merge_sort,21952,32,17,126,39,2000,1000000000,1118299,21952,29429,1000000000,1000000000
102,icc_fb_page,shares,merge_sort,21952,32,18,129,39,2000,1000000000,1054090,21952,29262,1000000000,1000000000
103,spotify_top_charts_22,peak_rank,merge_sort,6082,28,20,127,39,646,1000000000,72134,6082,6574,1000000000,1000000000
104,spotify_top_charts_22,weeks_on_chart,merge_sort,6082,32,17,124,39,646,1000000000,136880,6082,6311,1000000000,1000000000
105,spotify_top_charts_22,danceability,merge_sort,6082,30,16,120,39,646,1000000000,106218,6082,7177,1000000000,1000000000
106,spotify_top_charts_22,energy,merge_sort,6082,31,20,127,39,646,1000000000,109458,6082,7051,1000000000,1000000000
107,spotify_top_charts_22,key,merge_sort,6082,31,18,128,39,646,1000000000,92988,6082,6659,1000000000,1000000000
108,spotify_top_charts_22,loudness,merge_sort,6082,32,22,121,39,646,1000000000,112417,6082,7057,1000000000,1000000000
109,spotify_top_charts_22,mode,timsort,5344,14,12,87,39,646,1000000000,50011,6082,5344,1000000000,1000000000
110,spotify_top_charts_22,speechiness,merge_sort,6082,30,17,124,39,646,1000000000,102584,6082,7193,1000000000,1000000000
111,spotify_top_charts_22,acousticness,merge_sort,6082,31,19,121,39,646,1000000000,101060,6082,7016,1000000000,1000000000
112,spotify_top_charts_22,instrumentalness,merge_sort,6082,32,18,121,39,646,1000000000,81942,6082,6529,1000000000,1000000000
113,spotify_top_charts_22,liveness,merge_sort,6082,30,18,129,39,646,1000000000,98688,6082,7111,1000000000,1000000000
114,spotify_top_charts_22,tempo,merge_sort,6082,28,17,124,39,646,1000000000,104340,6082,6940,1000000000,1000000000
115,spotify_top_charts_22,time_signature,timsort,4336,20,5,119,39,646,1000000000,18312,6082,4336,1000000000,1000000000
116,spotify_top_charts_22,duration_ms,merge_sort,6082,33,20,122,39,646,1000000000,109442,6082,6955,1000000000,1000000000
117,wage_predict,occupation,merge_sort,22012,33,15,133,39,2005,1000000000,841428,22012,27091,1000000000,1000000000
118,wage_predict,yrs_qual,merge_sort,22012,32,16,118,39,2005,1000000000,800371,22012,26280,1000000000,1000000000
